bond_handle,bond_name,nomenclature,category,subcategory,project,location,date_allocation,date_disbursement,allocation_currency,allocated_allocation_currency,disbursed_allocation_currency,bond_currency,disbursed_bond_currency,disbursed_usd,refinancing,cofinancing_percentage
1fd5c178da6148569a42c52f45981714,Bancolombia Bono Verde 1,Climate Bonds Initiative Project Classification,Energy,Hydro,GB 1 Proyecto 1,Colombia,2016-12-05T00:00:00Z,2016-12-05T00:00:00Z,COP,5271430000,5271430000,COP,5271430000,1722104,TRUE,0.92
1fd5c178da6148569a42c52f45981714,Bancolombia Bono Verde 1,ICMA Green Bonds Principles Project Categories,Renewable energy,Generation,GB 1 Proyecto 1,Colombia,2016-12-05T00:00:00Z,2016-12-05T00:00:00Z,COP,5271430000,5271430000,COP,5271430000,1722104,TRUE,0.92
1fd5c178da6148569a42c52f45981714,Bancolombia Bono Verde 1,Climate Bonds Initiative Project Classification,Energy,Hydro,GB 1 Proyecto 2,Colombia,2016-12-05T00:00:00Z,2016-12-05T00:00:00Z,COP,2488157000,2488157000,COP,2488157000,812847,TRUE,0.92
1fd5c178da6148569a42c52f45981714,Bancolombia Bono Verde 1,ICMA Green Bonds Principles Project Categories,Renewable energy,Generation,GB 1 Proyecto 2,Colombia,2016-12-05T00:00:00Z,2016-12-05T00:00:00Z,COP,2488157000,2488157000,COP,2488157000,812847,TRUE,0.92
1fd5c178da6148569a42c52f45981714,Bancolombia Bono Verde 1,Climate Bonds Initiative Project Classification,Energy,Hydro,GB 1 Proyecto 4,Colombia,2016-12-05T00:00:00Z,2016-12-05T00:00:00Z,COP,79175253000,79175253000,COP,79175253000,25865474,TRUE,0.92
1fd5c178da6148569a42c52f45981714,Bancolombia Bono Verde 1,ICMA Green Bonds Principles Project Categories,Renewable energy,Generation,GB 1 Proyecto 4,Colombia,2016-12-05T00:00:00Z,2016-12-05T00:00:00Z,COP,79175253000,79175253000,COP,79175253000,25865474,TRUE,0.92
1fd5c178da6148569a42c52f45981714,Bancolombia Bono Verde 1,Climate Bonds Initiative Project Classification,Energy,Hydro,GB 1 Proyecto 7,Colombia,2016-12-05T00:00:00Z,2016-12-05T00:00:00Z,COP,85156698000,85156698000,COP,85156698000,27819531,TRUE,0.92
1fd5c178da6148569a42c52f45981714,Bancolombia Bono Verde 1,ICMA Green Bonds Principles Project Categories,Renewable energy,Generation,GB 1 Proyecto 7,Colombia,2016-12-05T00:00:00Z,2016-12-05T00:00:00Z,COP,85156698000,85156698000,COP,85156698000,27819531,TRUE,0.92
1fd5c178da6148569a42c52f45981714,Bancolombia Bono Verde 1,Climate Bonds Initiative Project Classification,Energy,Hydro,GB 1 Proyecto 8,Colombia,2016-12-05T00:00:00Z,2016-12-05T00:00:00Z,COP,21379716000,21379716000,COP,21379716000,6984461,TRUE,0.92
1fd5c178da6148569a42c52f45981714,Bancolombia Bono Verde 1,ICMA Green Bonds Principles Project Categories,Renewable energy,Generation,GB 1 Proyecto 8,Colombia,2016-12-05T00:00:00Z,2016-12-05T00:00:00Z,COP,21379716000,21379716000,COP,21379716000,6984461,TRUE,0.92
fe8a86a4318f49fb850f1dfa256f263b,GCDMXCB 16V,Climate Bonds Initiative Project Classification,Water,Flood defence,Construcción de la planta de bombeo y laguna de regulación en la U.H. Vicente Guerrero - 16,Mexico,2016-12-31T00:00:00Z,2016-12-31T00:00:00Z,MXN,156000000,136861823,MXN,136861823,7236160,FALSE,0.24
