link,handle,isin,cusip,figi,ticker,name,issuer_name,issuer_type,issuer_jurisdiction,fund,framework_link,issuance_date,maturity_date,volume_usd,volume_bond_currency,bond_currency
https://www.greenbondtransparency.com/bond-info/?handle=826fb91751eb4970ac578c6e8f0929fc,826fb91751eb4970ac578c6e8f0929fc,US00105DAG07,00105DAG0,BBG00QGRGP11,NA,AES Gener Green Bond,AES Andes,Non-Financial Corporate,Chile,FALSE,NA,2019-10-07T00:00:00Z,2079-10-07T00:00:00Z,450000000,450000000,USD
https://www.greenbondtransparency.com/bond-info/?handle=270dc78108554e578876030bd2496dde,270dc78108554e578876030bd2496dde,BRVERTCRA2K6,NA,NA,NA,CRA ComBio Green Bond 2028,ComBio Energia,Non-Financial Corporate,Brazil,FALSE,NA,2021-11-23T00:00:00Z,2028-11-16T00:00:00Z,26572188,150000000,BRL
https://www.greenbondtransparency.com/bond-info/?handle=ca95780fd934421fa99ce5cb0b1f71d2,ca95780fd934421fa99ce5cb0b1f71d2,US210314AB60,210314AB6,BBG00NW1PM87,NA,ISA CTM,ISA CTM - Consorcio Transmantaro S.A.,Non-Financial Corporate,Peru,FALSE,https://www.greenbondtransparency.com/download-document/?entity=Framework&handle=905be24bcdf943969c19e593cecd74e1,2019-04-16T00:00:00Z,2034-04-16T00:00:00Z,600000000,600000000,USD
https://www.greenbondtransparency.com/bond-info/?handle=91d5f951533040578939c60b74089a81,91d5f951533040578939c60b74089a81,NA,NA,NA,CAF GB Program,Green Bond Program,CAF - Banco de Desarrollo de America Latina,Development Bank,Supranational,TRUE,https://www.greenbondtransparency.com/download-document/?entity=Framework&handle=20ab6a5a7a89447fa8ffc6208696d342,NA,NA,NA,NA,USD
https://www.greenbondtransparency.com/bond-info/?handle=de08d71d4fcd410eac1c1c388f5743cc,de08d71d4fcd410eac1c1c388f5743cc,BRRANIDBS031,NA,NA,RANI14,Irani Green Bond 2029,Irani Papel e Embalagem S.A.,Non-Financial Corporate,Brazil,FALSE,NA,2021-03-31T00:00:00Z,2029-12-15T00:00:00Z,10531304,60000000,BRL
https://www.greenbondtransparency.com/bond-info/?handle=33ceef813ef14aac8ab44dc3a53606d8,33ceef813ef14aac8ab44dc3a53606d8,COB07CB00611,NA,NA,NA,Bancolombia Bono Sostenible,Grupo Bancolombia,Financial Corporate,Colombia,FALSE,https://www.greenbondtransparency.com/download-document/?entity=Framework&handle=e7161c8807ca44e085439ddf548d7489,2019-07-19T00:00:00Z,2024-07-19T00:00:00Z,206408402,657000000000,COP
https://www.greenbondtransparency.com/bond-info/?handle=874808e162394384acb97cc13c29e805,874808e162394384acb97cc13c29e805,XS2318617185,NA,BBG00ZLGVWW3,NA,BCI - USD 2029,Banco de Crédito e Inversiones,Financial Corporate,Chile,FALSE,https://www.greenbondtransparency.com/download-document/?entity=Framework&handle=8dc563c540c1439a8c930ddbfada75ef,2021-03-17T00:00:00Z,2029-12-03T00:00:00Z,54000000,54000000,USD
https://www.greenbondtransparency.com/bond-info/?handle=fe8a86a4318f49fb850f1dfa256f263b,fe8a86a4318f49fb850f1dfa256f263b,MX90GC040000,AM3592905,BBG00FWZHJQ5,90_GCDMXCB_16V,GCDMXCB 16V,Gobierno de la Ciudad de México,Local government,Mexico,FALSE,NA,2016-12-07T00:00:00Z,2021-12-07T00:00:00Z,49269093,1000000000,MXN
https://www.greenbondtransparency.com/bond-info/?handle=63eb049b54cf46b8871604a7b6c595b4,63eb049b54cf46b8871604a7b6c595b4,US90363PAA49,NA,BBG00YGNGLS3,NA,UEP Penonome II,"UEP Penonome II, S.A.",Non-Financial Corporate,Panama,FALSE,NA,2020-12-18T00:00:00Z,2038-10-01T00:00:00Z,262664000,262664000,USD
https://www.greenbondtransparency.com/bond-info/?handle=19a9b617aa704f8285094522d06a5367,19a9b617aa704f8285094522d06a5367,BRNEOEDBS047,NA,BBG00PQCN094,NA,Neoenergia - 6ª emissão de debêntures,Grupo Neoenergia,Non-Financial Corporate,Brazil,FALSE,NA,2019-07-10T00:00:00Z,2033-06-15T00:00:00Z,343437160,1294449000,BRL
https://www.greenbondtransparency.com/bond-info/?handle=3e001fbc60b6457dbbb4e67ee69152c0,3e001fbc60b6457dbbb4e67ee69152c0,CL0002521988,NA,NA,NA,BAGUA-AE,Aguas Andinas,Non-Financial Corporate,Chile,FALSE,https://www.greenbondtransparency.com/download-document/?entity=Framework&handle=44e38dbb4e334294b5534acaf9930631,2019-04-11T00:00:00Z,2044-03-15T00:00:00Z,81506332,2000000,CLF
