bond_handle,bond_name,nomenclature,category,subcategory,project,location,indicator,unit,planned_value,measured_value,can_be_aggregated,methodology_code,measurement_period_start,measurement_period_end
65809b95fbf34e898b30b546b2d2a6a8,AES Argentina Green Bond,ISO,Other,Unspecified,Vientos Neuquinos,Argentina,tCO2e avoided,metric ton,67584,67804,TRUE,NA,2020-10-01T00:00:00Z,2020-12-31T00:00:00Z
65809b95fbf34e898b30b546b2d2a6a8,AES Argentina Green Bond,EU Taxonomy Green Bonds Standard,Other,Unspecified,Vientos Neuquinos,Argentina,tCO2e avoided,metric ton,67584,67804,TRUE,NA,2020-10-01T00:00:00Z,2020-12-31T00:00:00Z
65809b95fbf34e898b30b546b2d2a6a8,AES Argentina Green Bond,ICMA Green Bonds Principles Project Categories,Renewable energy,Generation,Vientos Neuquinos,Argentina,tCO2e avoided,metric ton,67584,67804,TRUE,NA,2020-10-01T00:00:00Z,2020-12-31T00:00:00Z
65809b95fbf34e898b30b546b2d2a6a8,AES Argentina Green Bond,Climate Bonds Initiative Project Classification,Energy,Wind,Vientos Neuquinos,Argentina,tCO2e avoided,metric ton,67584,67804,TRUE,NA,2020-10-01T00:00:00Z,2020-12-31T00:00:00Z
826fb91751eb4970ac578c6e8f0929fc,AES Gener Green Bond,ISO,Other,Unspecified,Wind Projects,Chile,tCO2e avoided,metric ton,140982,157700,TRUE,NA,2020-01-01T00:00:00Z,2020-12-31T00:00:00Z
826fb91751eb4970ac578c6e8f0929fc,AES Gener Green Bond,EU Taxonomy Green Bonds Standard,Other,Unspecified,Wind Projects,Chile,tCO2e avoided,metric ton,140982,157700,TRUE,NA,2020-01-01T00:00:00Z,2020-12-31T00:00:00Z
826fb91751eb4970ac578c6e8f0929fc,AES Gener Green Bond,ICMA Green Bonds Principles Project Categories,Renewable energy,Generation,Wind Projects,Chile,tCO2e avoided,metric ton,140982,157700,TRUE,NA,2020-01-01T00:00:00Z,2020-12-31T00:00:00Z
826fb91751eb4970ac578c6e8f0929fc,AES Gener Green Bond,Climate Bonds Initiative Project Classification,Energy,Wind,Wind Projects,Chile,tCO2e avoided,metric ton,140982,157700,TRUE,NA,2020-01-01T00:00:00Z,2020-12-31T00:00:00Z
826fb91751eb4970ac578c6e8f0929fc,AES Gener Green Bond,ISO,Other,Unspecified,Solar Project I,Chile,tCO2e avoided,metric ton,31268,26936,TRUE,NA,2020-09-01T00:00:00Z,2020-12-31T00:00:00Z
826fb91751eb4970ac578c6e8f0929fc,AES Gener Green Bond,EU Taxonomy Green Bonds Standard,Other,Unspecified,Solar Project I,Chile,tCO2e avoided,metric ton,31268,26936,TRUE,NA,2020-09-01T00:00:00Z,2020-12-31T00:00:00Z
826fb91751eb4970ac578c6e8f0929fc,AES Gener Green Bond,ICMA Green Bonds Principles Project Categories,Renewable energy,Generation,Solar Project I,Chile,tCO2e avoided,metric ton,31268,26936,TRUE,NA,2020-09-01T00:00:00Z,2020-12-31T00:00:00Z
826fb91751eb4970ac578c6e8f0929fc,AES Gener Green Bond,Climate Bonds Initiative Project Classification,Energy,Solar,Solar Project I,Chile,tCO2e avoided,metric ton,31268,26936,TRUE,NA,2020-09-01T00:00:00Z,2020-12-31T00:00:00Z
826fb91751eb4970ac578c6e8f0929fc,AES Gener Green Bond,ISO,Other,Unspecified,Solar Project II,Colombia,tCO2e avoided,metric ton,10459,10616,TRUE,NA,2020-01-01T00:00:00Z,2020-12-31T00:00:00Z
