bond_handle,bond_name,nomenclature,category,subcategory,project,parent_project_handle,location,latitude,longitude,host_organisation,refinancing,cofinancing_percentage,represented_projects,description
9fc875791e3143a1bb3f864a304e8185,Green Bond 2017 - Davivienda,ISO,Other,Unspecified,Residential Building #20,NA,Colombia,NA,NA,Anonymous,FALSE,1,NA,EDGE
9fc875791e3143a1bb3f864a304e8185,Green Bond 2017 - Davivienda,EU Taxonomy Green Bonds Standard,Other,Unspecified,Residential Building #20,NA,Colombia,NA,NA,Anonymous,FALSE,1,NA,EDGE
9fc875791e3143a1bb3f864a304e8185,Green Bond 2017 - Davivienda,ICMA Green Bonds Principles Project Categories,Green buildings,Residential,Residential Building #20,NA,Colombia,NA,NA,Anonymous,FALSE,1,NA,EDGE
9fc875791e3143a1bb3f864a304e8185,Green Bond 2017 - Davivienda,Climate Bonds Initiative Project Classification,Buildings,Residential,Residential Building #20,NA,Colombia,NA,NA,Anonymous,FALSE,1,NA,EDGE
fd47a3cbf44c4c7bb9c69c5ad3fcc8e0,CBI Certified Portfolio,ICMA Green Bonds Principles Project Categories,Renewable energy,Generation,Construction of Photovoltaic System,NA,Chile,-40.2249654,-72.3966763,Ministry of Energy,TRUE,1,NA,"Construction of 151 individual self-generation systems consisting of a 2.76 kWp PV plant and a 25 kWh battery bank. All systems are located on Huapi Island, Futrono commune, Los Lagos region"
fd47a3cbf44c4c7bb9c69c5ad3fcc8e0,CBI Certified Portfolio,Climate Bonds Initiative Project Classification,Energy,Solar,Construction of Photovoltaic System,NA,Chile,-40.2249654,-72.3966763,Ministry of Energy,TRUE,1,NA,"Construction of 151 individual self-generation systems consisting of a 2.76 kWp PV plant and a 25 kWh battery bank. All systems are located on Huapi Island, Futrono commune, Los Lagos region"
3e001fbc60b6457dbbb4e67ee69152c0,BAGUA-AE,ICMA Green Bonds Principles Project Categories,Water and wastewater,Wastewater treatment,Ampliación Planta De Tratamiento De Aguas Servidas El Monte 2018 - 2019,NA,Chile,NA,NA,Aguas Andinas,TRUE,0.74,NA,"Proyectos de construcción, ampliación y adecuación de plantas de tratamiento de aguas servidas (PTAS), incluyendo obras civiles y de equipamiento, materiales, equipos, insumos y suministros."
3e001fbc60b6457dbbb4e67ee69152c0,BAGUA-AE,Climate Bonds Initiative Project Classification,Water,Treatment,Ampliación Planta De Tratamiento De Aguas Servidas El Monte 2018 - 2019,NA,Chile,NA,NA,Aguas Andinas,TRUE,0.74,NA,"Proyectos de construcción, ampliación y adecuación de plantas de tratamiento de aguas servidas (PTAS), incluyendo obras civiles y de equipamiento, materiales, equipos, insumos y suministros."
c8db70a600e4496aa0bdff98338e72ee,CIFI Green Bond Program,ICMA Green Bonds Principles Project Categories,Renewable energy,Products,El Espinal,NA,Panama,NA,NA,PSZ-1 S.A.,TRUE,0.26,NA,"Construction, operation, and maintenance of a 9.26 MW photovoltaic plant."
c8db70a600e4496aa0bdff98338e72ee,CIFI Green Bond Program,Climate Bonds Initiative Project Classification,Energy,Solar,El Espinal,NA,Panama,NA,NA,PSZ-1 S.A.,TRUE,0.26,NA,"Construction, operation, and maintenance of a 9.26 MW photovoltaic plant."
19a9b617aa704f8285094522d06a5367,Neoenergia - 6ª emissão de debêntures,ICMA Green Bonds Principles Project Categories,Renewable energy,Transmission,EKTT 1,79d4df39f23b4759851c113ed64eb1fa,Brazil,NA,NA,Neoenergia,TRUE,0.06,NA,The project develops infrastructure for renewable energy transmission. It is awaiting licensing
19a9b617aa704f8285094522d06a5367,Neoenergia - 6ª emissão de debêntures,Climate Bonds Initiative Project Classification,Energy,Transmission,EKTT 1,79d4df39f23b4759851c113ed64eb1fa,Brazil,NA,NA,Neoenergia,TRUE,0.06,NA,The project develops infrastructure for renewable energy transmission. It is awaiting licensing
