bond_handle,bond_name,market,stock_exchange,tranche_currency,volume_offered_tranche_currency,volume_raised_tranche_currency,bond_currency,volume_raised_bond_currency,volume_raised_usd
ee7a68239dbe4664adad596c19403c93,Suzano Papel e Celulose Green Bond 2026,United States,NA,USD,500000000,500000000,USD,500000000,500000000
ee7a68239dbe4664adad596c19403c93,Suzano Papel e Celulose Green Bond 2026,United States,NA,USD,200000000,200000000,USD,200000000,200000000
fe8a86a4318f49fb850f1dfa256f263b,GCDMXCB 16V,Mexico,NA,MXN,1000000000,1000000000,MXN,1000000000,49269093
cffe109b8d59400dbf3b62d9e36c0d76,GCDMXCB 17X,Mexico,NA,MXN,2000000000,2000000000,MXN,2000000000,112585354
0f91b88562524743ad5ecf105cddab89,Banco Nacional de Costa Rica 2021,United States,NA,USD,500000000,500000000,USD,500000000,500000000
19e36a4428614da782362502bd1291a3,Attend Ambiental 2026,Brazil,NA,BRL,55000000,55000000,BRL,55000000,13000000
abe9dd05116c4c77b3bb4fae4ba7fa01,CABEI´s 2019 Green Bond,United States,NA,USD,375000000,375000000,USD,375000000,375000000
bfc6f6927d0842d4b44fe9c260c3a4fa,Bono sostenible BICE,United States,NA,USD,30000000,30000000,USD,30000000,30000000
e7a60b9c1e1547e78842af5b5db91a2f,Coca-Cola FEMSA Green Bond,United States,NA,USD,705000000,705000000,USD,705000000,705000000
65809b95fbf34e898b30b546b2d2a6a8,AES Argentina Green Bond,Argentina,NA,USD,48450360,48450360,USD,48450360,48450360
826fb91751eb4970ac578c6e8f0929fc,AES Gener Green Bond,United States,NA,USD,450000000,450000000,USD,450000000,450000000
2713ee8efde4440b875f3a181f33a9f4,ISA CTEEP - 7ª Emissão,Brazil,NA,BRL,621000000,621000000,BRL,621000000,119500000
7764daf78634437c8d58059674d26e96,ISA CTEEP - 8ª Emissão,Brazil,NA,BRL,409000000,409000000,BRL,409000000,78700000
5b9bc195be534adaa28f29ea980225c8,ISA CTEEP - 9ª Emissão (2ª Serie),Brazil,NA,BRL,800000000,800000000,BRL,800000000,154000000
675b2c75c3cf4ef5be3d6cf3421d4300,ISA CTEEP - 10ª Emissão,Brazil,NA,BRL,672500000,672500000,BRL,672500000,129400000
e4570195ee594e479365900b4140ec5f,Bradesco Climate Bond - 2020,Brazil,NA,BRL,1200000000,1200000000,BRL,1200000000,231928875
d926bd6190f14503bf5981ccf4d7c715,BNDES Green Bond 2017,United States,NA,USD,1000000000,1000000000,USD,1000000000,1000000000
69a374327ec74ed980c676a9cc7a693a,Sabará Green Bond,Brazil,NA,BRL,20000000,20000000,BRL,20000000,4895000
b39685efcca04b61bebbca809d22fe37,BSOND-J,Chile,NA,CLF,1500000,1500000,CLF,1500000,59024473
2d02a140e1674840929801f32b91dbf3,Suzano CRA Verde 2016,Brazil,NA,BRL,1000000000,1000000000,BRL,1000000000,291723795
4e17f0d80ab34899bc0d289e2bbfe144,BAGUA-AC,Chile,NA,CLF,1500000,1500000,CLF,1500000,58974060
3e001fbc60b6457dbbb4e67ee69152c0,BAGUA-AE,Chile,NA,CLF,2000000,2000000,CLF,2000000,81506332
44e27f4e41cc40a693f0cb8b082426ca,Fibria Green Bond 2027,United States,NA,USD,700000000,700000000,USD,700000000,700000000
5606e307519f4f58abc9d45cb7e36d03,Banco Pichincha Green Bond -Issue 1,Ecuador,NA,USD,150000000,150000000,USD,150000000,150000000
